"","seq.cov","lower.Q1","med","upper.Q3"
"1","35",2,2,2.5
"2","40",2,2,3
"3","45",2,2,3
"4","50",2,2,3
"5","55",2,2,3
"6","60",2,2,3
"7","65",2,2,3
"8","70",2,2,3
"9","75",2,2,3
"10","80",2,2,3
"11","85",2,2,3
"12","90",2,2,3
"13","95",2,2,3
"14","true_100",2,2,3
